38.191.66.0/24,CO,CO-HUI,Timana,
38.191.67.0/24,CO,CO-DC,Bogotá D.C.,
2803:f890::/32,CO,CO-HUI,Timana,
138.117.41.0/24,CO,CO-HUI,Timana,
